date,trial_#,day_or_night,hatch_group,trial_options,x_axis,y_axis,include,total_distance_recorded,notes2
4/10/2018,386,fed,0.227,.,.,.,1,,
4/10/2018,387,fed,0.298,.,.,.,1,,
4/10/2018,388,fed,0.32,.,.,.,1,,
4/10/2018,389,starved_24,0.248,.,.,.,1,,
4/10/2018,390,starved_24,0.208,.,.,.,1,,
4/11/2018,391,starved_48,0.264,.,.,.,1,,
4/11/2018,392,starved_48,0.269,.,.,.,1,,
4/11/2018,393,fed,0.349,.,.,.,0,0,too short
4/11/2018,394,starved_48,0.28,.,.,.,1,,
4/13/2018,395,fed,0.192,.,.,.,0,0,too short
4/13/2018,396,fed,0.304,.,.,.,0,0,too short
4/13/2018,397,fed,0.286,.,.,.,1,,
6/4/2018,402,buroak_fed,0.205,.,.,.,0,3.4,3.4 cm
6/4/2018,403,buroak_fed,0.222,.,.,.,1,336.2,336.2 cm
6/4/2018,404,buroak_fed,0.253,.,.,.,0,0,no movement
6/4/2018,405,buroak_fed,0.185,.,.,.,0,26.6,"26.6 in first 5, none after"
6/4/2018,406,buroak_fed,0.244,.,.,.,0,2.8,2.8 cm f mins
6/4/2018,407,buroak_fed,0.244,.,.,.,0,4.5,"4.4 cm in 5 min, 4.5 cm total"
6/4/2018,408,buroak_fed,0.205,.,.,.,0,4.6,4.6 cm in  5 min
6/4/2018,409,buroak_fed,0.23,.,.,.,0,8.1,"8.1 cm in 5 min, no movement after"
6/4/2018,410,buroak_fed,0.186,.,.,.,0,1.2,1.2 cm 5 min
6/4/2018,411,buroak_fed,0.237,.,.,.,0,3.5,3.5 cm in first 5
6/4/2018,412,buroak_fed,0.153,.,.,.,0,0.5,0.5 cm in first 5 min
6/4/2018,413,buroak_fed,0.292,.,.,.,0,0.5,0.5 cm in first 5 min
6/4/2018,414,buroak_fed,0.22,.,.,.,0,2.5,2.5 cm
6/4/2018,415,buroak_fed,0.2,.,.,.,0,5.4,5.4 cm in 5 min
6/4/2018,416,buroak_fed,0.205,.,.,.,0,1.2,1.2 cm 5 min
6/4/2018,417,buroak_fed,0.245,.,.,.,0,1.3,1.3 cm
6/5/2018,418,buroak_fed,0.132,.,.,.,0,3.2,3.2 cm
6/5/2018,419,buroak_fed,0.243,.,.,.,0,32.3,32.3 cm in first 5 then nothing
6/5/2018,420,buroak_fed,0.17,.,.,.,0,2.8,2.8 cm
6/5/2018,421,buroak_fed,0.337,.,.,.,0,9.7,9.7 cm in 5 min
6/5/2018,422,buroak_fed,0.258,.,.,.,0,3.2,3.2 cm
6/5/2018,423,buroak_fed,0.128,.,.,.,0,1.1,1.1 cm
6/5/2018,424,buroak_fed,0.223,.,.,.,0,2.9,2.9 cm
6/5/2018,425,buroak_fed,0.216,.,.,.,0,23.3,23.3 cm in first 5
6/5/2018,426,buroak_fed,0.152,.,.,.,0,2,2 cm 
6/5/2018,427,buroak_fed,0.214,.,.,.,0,2.9,2.9 cm
6/5/2018,428,buroak_fed,0.222,.,.,.,1,64.7,64.7 cm
6/5/2018,429,buroak_fed,0.154,.,.,.,0,2.2,2.2 cm
6/5/2018,430,buroak_fed,0.223,.,.,.,0,1.7,1.7 cm
6/5/2018,431,buroak_fed,0.215,.,.,.,0,1.4,1.4 cm
6/5/2018,432,buroak_fed,0.271,.,.,.,0,2.3,2.3 cm
6/5/2018,433,buroak_fed,0.292,.,.,.,0,0.9,0.9 cm
6/5/2018,434,buroak_fed,0.288,.,.,.,0,3.2,3.2 cm
6/5/2018,435,buroak_fed,0.249,.,.,.,1,71.5,71.5 cm
6/5/2018,436,buroak_fed,0.31,.,.,.,0,7.4,7.4 cm
6/5/2018,437,buroak_fed,0.255,.,.,.,0,1.1,1.1 cm
6/5/2018,438,buroak_fed,0.167,.,.,.,0,3.2,3.2 cm
6/5/2018,439,buroak_fed,0.242,.,.,.,0,39.5,39.5 cm in first five nothing after
6/5/2018,440,buroak_fed,0.266,.,.,.,0,7.6,7.6 cm in first five
6/5/2018,441,buroak_fed,0.301,.,.,.,1,379.9,379.9 cm
6/5/2018,442,buroak_fed,0.193,.,.,.,1,460,460 cm
6/6/2018,443,buroak_24,0.248,.,.,.,1,300,> 300 cm
6/6/2018,444,buroak_24,0.254,.,.,.,1,1049,1049 cm total
6/6/2018,445,buroak_24,0.254,.,.,.,1,460,460 cm
6/6/2018,446,buroak_24,0.223,.,.,.,1,1134,1134 cm
6/6/2018,447,buroak_24,0.242,.,.,.,1,367,367 cm
6/6/2018,448,buroak_24,0.264,.,.,.,1,709,709 cm
6/6/2018,449,buroak_24,0.156,.,.,.,1,447,447 cm
6/6/2018,450,buroak_24,0.276,.,.,.,1,384,384 cm
6/6/2018,451,buroak_24,0.231,.,.,.,1,423,423 cm
6/6/2018,452,buroak_24,0.197,.,.,.,1,1354.5,1354.5 cm
6/6/2018,453,buroak_24,0.21,.,.,.,1,1005.9,1005.9 cm
6/6/2018,454,buroak_24,0.243,.,.,.,1,560.6,560.6 cm
6/6/2018,455,buroak_24,0.258,.,.,.,0,0,0 cm
6/6/2018,456,buroak_24,0.247,.,.,.,0,1.8,1.8 cm
6/6/2018,457,buroak_fed,0.193,.,.,.,0,1.3,1.3 cm
6/7/2018,458,buroak_48,0.265,.,.,.,0,6.75,"6.75 cm in first 5, none after"
6/7/2018,459,buroak_48,0.307,.,.,.,1,555.9,555.9 cm
6/7/2018,460,buroak_48,0.252,.,.,.,1,1017.5,1017.5 cm
6/7/2018,461,buroak_48,0.243,.,.,.,1,316.5,316.5 cm
6/7/2018,462,buroak_48,0.254,.,.,.,1,1136.3,1136.3 cm
6/7/2018,463,buroak_48,0.297,.,.,.,1,1290.1,1290.1 cm
6/7/2018,464,buroak_48,0.177,.,.,.,1,1435.8,1435.8 cm
6/7/2018,465,buroak_48,0.244,.,.,.,1,801.7,801.7 cm
6/7/2018,466,buroak_48,0.256,.,.,.,1,949.8,949.8 cm
6/7/2018,467,buroak_48,0.269,.,.,.,1,217.4,217.4 cm
6/7/2018,468,buroak_48,0.253,.,.,.,1,575.9,575.9 cm
6/7/2018,469,buroak_fed,0.231,.,.,.,0,4.4,4.4 cm
6/7/2018,470,buroak_fed,0.28,.,.,.,0,3.7,3.7 cm
6/7/2018,471,buroak_fed,0.248,.,.,.,0,1.6,1.6 cm
6/7/2018,472,buroak_fed,0.319,.,.,.,1,72,72 cm
6/7/2018,473,buroak_fed,0.267,.,.,.,0,14.6,14.6 cm in first five
6/7/2018,474,buroak_fed,0.164,.,.,.,1,192.6,192.6 cm
6/8/2018,475,buroak_24,0.316,.,.,.,1,646,646
